product_id,id_web
4299,16578
4782,16564
5894,16539
4719,16527
4720,16513
5962,16326
6047,16264
4173,16211
4287,16065
4976,16005
4680,15934
5959,15766
4183,15746
6920,15740
6299,15710
4914,15613
4919,15531
6573,15473
4926,15456
4611,15452
4242,15310
3850,15300
6202,15126
4165,15075
4041,14975
5612,14915
5917,14775
4668,14657
4994,14507
5761,13849
4740,13412
4938,13379
5969,13211
4794,12771
4399,12640
4397,12639
4348,12586
5628,12366
4392,11586
5629,8365
4144,1662
4627,805
4635,798
4729,38
4090,
4692,
4698,
7170,
7195,
7201,
7247,13127-1
5565,19822
4039,19815
6205,16565
4105,16504
5930,16323
4083,16296
4924,16276
4178,16160
5711,16121
4963,15958
5608,15944
5609,15930
4621,15849
5696,15797
4182,15747
6887,15736
4094,15676
4712,15667
4147,15648
4564,15621
4687,15582
5963,15574
5738,15566
6093,15487
4246,15428
4229,15403
5705,15360
6035,15342
4980,15229
6621,15204
4606,15149
4603,15147
4885,14981
5443,14809
4713,14746
5573,14729
4705,14699
5690,14647
4996,14508
5955,14377
4394,13766
5056,13531
4658,13517
4978,13313
4780,13096
4196,13032
5393,12494
4257,12476
4364,11585
4709,10775
4617,10459
4795,3568
4278,
4659,
7010,
7137,
7164,
7329,14680-1
4876,16289
4648,16262
4190,16191
4285,16153
4048,16044
4052,16030
4071,15953
5004,15871
5693,15812
6632,15794
5890,15775
6584,15769
4792,15733
5063,15715
6664,15661
4717,15658
5477,15526
6095,15489
4598,15478
4707,15466
4240,15436
4160,15373
4749,15315
3847,15298
4679,15283
4676,15280
4613,15030
5804,14955
5474,14679
4748,14632
5953,14379
4616,14371
4776,14302
5506,14192
6212,13996
4359,13853
5803,13572
4254,12203
5967,11669
4132,11668
4142,11641
4656,10814
4150,1366
4625,812
4565,
4798,
4973,
6869,
4223,16585
4239,16567
4727,16540
4103,16505
4298,16501
4187,16189
4930,16155
4601,16151
4245,16097
4778,16072
6620,16046
4890,16038
5739,16003
4923,15928
5006,15870
5519,15860
4758,15859
6926,15845
6616,15781
4888,15776
4220,15758
6301,15745
6928,15741
5062,15713
5377,15677
4263,15664
4716,15657
4176,15629
5954,15609
5958,15577
6100,15529
4077,15440
5802,15399
4678,15281
6227,15163
4936,15106
5809,15080
5614,14856
4157,14751
5570,14730
6128,14569
4358,13854
4913,13814
4666,13647
5707,13557
5552,13520
4079,13078
4902,13052
4274,12942
6215,12790
4219,12599
6898,
6907,
6908,
7161,
5561,19820
4268,16307
4232,16269
4153,16237
5566,16192
6070,16133
5485,16131
5697,16094
4075,16069
4974,16004
4064,15966
7023,15891
4106,15787
4886,15773
4210,15720
4262,15663
4915,15615
4203,15415
4665,15404
4115,15382
4940,15337
4224,15306
5769,15254
5771,15184
5768,15183
4864,15154
4248,15033
4043,14980
4101,14905
4277,14865
5016,14839
5544,14828
6108,14797
4276,14527
5799,14461
4907,14374
6107,14101
5548,13965
5964,13662
4164,13453
4139,13217
4137,13209
4228,12657
4072,12045
5008,11602
5756,7033
4407,3509
4632,2179
4148,1364
4693,
4702,
6826,
6903,
7008,
4281,16330
4200,16295
7338,16230
4283,16154
4286,16066
4042,16042
4045,16041
6617,16031
4892,15952
4929,15927
5896,15910
5524,15864
5523,15862
5764,15818
6626,15790
4170,15786
5483,15753
4790,15732
4261,15662
4934,15554
4920,15530
5491,15481
4600,15475
4070,15444
4706,15349
5018,15272
5773,15264
6622,15205
5766,15179
4154,15141
4151,15140
6050,15134
5892,14983
4156,14941
4275,14864
4903,14805
5488,14712
4757,14680
4162,14474
4618,14372
4171,14332
5743,14323
5025,13914
4675,13762
5900,12869
4069,11862
5913,10014
4357,9562
4630,793
5020,
5952,
7162,
7196,
4054,19816
4193,16529
4647,16525
4925,16277
6278,16273
4759,16229
4662,16081
4049,16043
4889,16037
5382,16011
4074,15941
4099,15813
4610,15801
6629,15793
6627,15791
4167,15785
6592,15764
5061,15711
4909,15614
4177,15583
4682,15575
4918,15533
4664,15402
5737,15369
5067,15346
4130,15339
5827,15328
4861,15307
4288,15292
4677,15282
4715,15196
6225,15162
4609,15145
5741,15127
5736,15116
5395,15095
4901,14802
4107,14800
5800,14689
4995,14509
5580,13982
4289,13771
4750,13627
4653,13515
5795,13291
5907,12882
5007,12791
5445,12194
5027,11997
4970,11225
4404,3507
6821,
6824,
6905,
6906,
7086,
7136,
7159,
4198,16322
4197,16256
4683,16239
4152,16238
4186,16190
5753,16147
5504,16146
6207,16077
6665,16068
4051,16045
4207,16023
5618,15921
5960,15892
6567,15779
4788,15731
6570,15706
4104,15683
4097,15675
4718,15670
4264,15665
4602,15659
4201,15656
4785,15448
4194,15441
4558,15426
5925,15351
4650,15206
5444,15155
4704,15004
4047,14977
4977,14930
6886,14897
5617,14844
5918,14773
5700,14736
4672,14676
5505,14648
5396,14626
5384,14149
6105,14090
6041,13073
4651,11849
5760,11258
5574,8463
4731,8344
4253,6616
4401,3506
4055,
5070,
6594,
6825,
6899,
6904,
7084,
7085,
7163,
4181,16560
5695,16304
4860,16292
6042,16159
6751,16144
6930,16135
6072,16028
5380,16022
5611,15945
5619,15922
4614,15875
4270,15839
4221,15829
5484,15756
4962,15737
4213,15718
4212,15717
4211,15714
5747,15631
4300,15567
5778,15561
4670,15525
6585,15434
4161,15375
6109,15201
5481,15138
4928,15047
5709,15035
4155,14944
4400,14768
5019,14696
6201,14596
6127,14573
4258,14485
4739,14366
5893,13910
4271,13460
5968,13215
4398,12641
4741,12601
5819,11933
4334,7818
4279,
5017,
6324,
6900,
7087,
7133,
7169,
7192,
5563,19821
4267,16537
5446,16328
4250,16317
4191,16263
4863,16255
6279,16247
4174,16209
4087,16180
4755,16132
6615,16071
4673,16057
4306,15949
